num       вн        в1             в2             вн/в1          вн/в2          
8         15        64.00          24.00          0.23           0.62           
16        45        256.00         64.00          0.18           0.70           
32        122       1024.00        160.00         0.12           0.76           
64        308       4096.00        384.00         0.08           0.80           
128       738       16384.00       896.00         0.05           0.82           
256       1738      65536.00       2048.00        0.03           0.85           
512       3966      262144.00      4608.00        0.02           0.86           
1024      8964      1048576.00     10240.00       0.01           0.88           
2048      19926     4194304.00     22528.00       0.00           0.88           
4096      43963     16777216.00    49152.00       0.00           0.89           
